workload,conflict_ratio,committed,cpu_seconds,net_rx_bytes,net_tx_bytes,net_total_bytes,mem_avg_mib,mem_peak_mib,run_id,summary_path
baseline,0.1,2000,0.011954177,17158.8615,14817.5495,31976.411,9288.944308763786,9416.9921875,b8a98f6f-67d6-4777-be2a-dd19e7ba42a0,/home/sxguo/vDesktop/geco/tools/abort-rate/results/b8a98f6f-67d6-4777-be2a-dd19e7ba42a0.summary.json
baseline,0.5,1988,0.01973678722334004,27516.390342052313,23798.700704225354,51315.09104627767,9203.653256873375,9274.53125,e04cd911-f504-42af-b3b0-ecac7a731967,/home/sxguo/vDesktop/geco/tools/abort-rate/results/e04cd911-f504-42af-b3b0-ecac7a731967.summary.json
baseline,0.9,1919,0.03182984471078687,44946.348619072436,38891.552892131316,83837.90151120376,9065.804880608404,9083.32421875,21e17e28-3cca-4461-837c-717e0aab8555,/home/sxguo/vDesktop/geco/tools/abort-rate/results/21e17e28-3cca-4461-837c-717e0aab8555.summary.json
fhe,0.1,2000,0.06788792550000002,898379.8315,895702.0635,1794081.895,9207.095857295251,9390.6875,b33bee91-0572-4947-b6f4-d5db600da8ee,/home/sxguo/vDesktop/geco/tools/abort-rate/results/b33bee91-0572-4947-b6f4-d5db600da8ee.summary.json
fhe,0.5,1983,0.10548823298033282,1545403.0529500756,1540549.3116490166,3085952.364599092,9178.211531440005,9356.71875,33b9ba13-04b3-4d60-ac41-8cec05077d86,/home/sxguo/vDesktop/geco/tools/abort-rate/results/33b9ba13-04b3-4d60-ac41-8cec05077d86.summary.json
fhe,0.9,1944,0.16431247170781893,2535018.0231481483,2527032.846707819,5062050.869855967,9190.61160853847,9340.55078125,90744c82-80b9-4de8-b0aa-ab0c7450da40,/home/sxguo/vDesktop/geco/tools/abort-rate/results/90744c82-80b9-4de8-b0aa-ab0c7450da40.summary.json
zeestar,0.1,2000,0.10374954149999999,1607781.3375,1487921.7625,3095703.0999999996,8995.51185102649,9320.15234375,8dcba5b8-6911-40a5-b375-e71fdccd0a5e,/home/sxguo/vDesktop/geco/tools/abort-rate/results/8dcba5b8-6911-40a5-b375-e71fdccd0a5e.summary.json
zeestar,0.5,1981,0.17294538465421505,2869500.624432105,2655556.143361938,5525056.767794043,8681.506087676064,9067.16015625,a8b4e67a-07e1-4d41-a63e-14832b934fa7,/home/sxguo/vDesktop/geco/tools/abort-rate/results/a8b4e67a-07e1-4d41-a63e-14832b934fa7.summary.json
zeestar,0.9,1910,0.2819684738219895,4872846.922513089,4509894.815706806,9382741.738219894,8139.605823698773,8662.9609375,8628441b-40b6-44d2-863b-879cd3bff2e2,/home/sxguo/vDesktop/geco/tools/abort-rate/results/8628441b-40b6-44d2-863b-879cd3bff2e2.summary.json
ctm_fhe,0.1,1857,0.068742816908993,907724.8179859989,904916.6305869683,1812641.4485729672,7813.697213838817,7971.3671875,3bc96b85-9fd0-4433-95ad-984a469cea94,/home/sxguo/vDesktop/geco/tools/abort-rate/results/3bc96b85-9fd0-4433-95ad-984a469cea94.summary.json
ctm_fhe,0.5,1317,0.08179000303720577,1198184.362186788,1194499.962034928,2392684.3242217163,7814.884433322823,7945.6171875,06175dfa-d107-4b0d-9e05-fb4566727359,/home/sxguo/vDesktop/geco/tools/abort-rate/results/06175dfa-d107-4b0d-9e05-fb4566727359.summary.json
ctm_fhe,0.9,521,0.11566858733205373,1842802.9174664107,1837152.942418426,3679955.8598848367,7817.298308634515,7963.53515625,4de4eba8-96eb-4437-aecf-151a11ac6c3c,/home/sxguo/vDesktop/geco/tools/abort-rate/results/4de4eba8-96eb-4437-aecf-151a11ac6c3c.summary.json
